Category,Article Title,URL,reference_1,reference_2,reference_3,reference_4,reference_5,query_1,query_2
Bodendenkmal in Uettingen,Liste der Bodendenkmäler in Uettingen,https://de.wikipedia.org/wiki/Liste_der_Bodendenkmäler_in_Uettingen,"Auf dieser Seite sind die Bodendenkmäler in der oberfränkischen Gemeinde Uettingen zusammengestellt. Diese Tabelle ist eine Teilliste der Liste der Bodendenkmäler in Bayern. Grundlage ist die Bayerische Denkmalliste, die auf Basis des Bayerischen Denkmalschutzgesetzes vom 1. Oktober 1973 erstmals erstellt wurde und seither durch das Bayerische Landesamt für Denkmalpflege geführt wird.",Die folgenden Angaben ersetzen nicht die rechtsverbindliche Auskunft der Denkmalschutzbehörde. [Anm. 1] Altertheim | Aub | Bergtheim | Bieberehren | Bütthard | Eibelstadt | Eisenheim | Eisingen | Erlabrunn | Estenfeld | Frickenhausen am Main | Gaukönigshofen | Gelchsheim | Gerbrunn | Geroldshausen | Giebelstadt | Greußenheim | Güntersleben | Hausen bei Würzburg | Helmstadt | Hettstadt | Höchberg | Holzkirchen | Kirchheim | Kist | Kleinrinderfeld | Kürnach | Leinach | Margetshöchheim | Neubrunn | Oberpleichfeld | Ochsenfurt | Prosselsheim | Randersacker | Reichenberg | Remlingen | Riedenheim | Rimpar | Rottendorf | Röttingen | Sommerhausen | Sonderhofen | Tauberrettersheim | Theilheim | Thüngersheim | Uettingen | Unterpleichfeld | Veitshöchheim | Waldbrunn | Waldbüttelbrunn | Winterhausen | Zell am Main Gemeindefreie Gebiete: Gramschatzer Wald | Guttenberger Wald | Irtenberger Wald,,,,1. Was ist die Grundlage für die Zusammenstellung der Bodendenkmäler in der Gemeinde Uettingen in Oberfranken und wer ist verantwortlich für ihre Führung?,2. Welche Gemeinden und gemeindefreien Gebiete sind in der Denkmalschutzliste neben Uettingen aufgeführt?
Architekt (Brüssel),Henri van Dievoet,https://de.wikipedia.org/wiki/Henri_van_Dievoet,Henri van Dievoet (* 19. Januar 1869 in Brüssel; † 24. April 1931 ebenda) war ein belgischer Architekt. Van Dievoet stammt aus einer alten Brüsseler Patrizier-Familie.,Einer seiner Vorfahren war der Bildhauer Peter van Dievoet. Er ist der Bruder des Jugendstil-Malers und Dekorateurs Gabriel van Dievoet. Der Architekt Joseph Poelaert war sein Großonkel. Er war mit Ernestine Eugenie Hortense Clémence Masson verheiratet.,"Sein erstes Werk war im Jahr 1889 ein Haus und Atelier des Künstlers Felix Rodberg (heute Washington Straat 30 in Ixelles/Elsene). Im Jahre 1890 beteiligte er sich im Salon d’Architecture de l’Exposition des Beaux-Arts de Bruxelles, wie auch Victor Horta und Maurice Van Ysendijck. Im Jahr 1894 gewann er den Großen Preis für Architektur der Stadt Brüssel mit seinem Plan für Parlamentsgebäude im konstitutionellen Staat. Ab 1910 war er Professor an der Akademie der Schönen Künste in Brüssel.",Von 1924 bis 1931 lehrte er architektonische Zeichnung und Perspektive an der Akademie der Bildenden Künste in Saint-Gilles/Sint-Gillis.,,1. Welche Auszeichnung erhielt Henri van Dievoet im Jahr 1894 für seine Architekturpläne und was war sein Beitrag zur Exposition des Beaux-Arts de Bruxelles im Jahr 1890?,2. Welche Funktionen hatte Henri van Dievoet an der Akademie der Schönen Künste in Brüssel und der Akademie der Bildenden Künste in Saint-Gilles/Sint-Gillis und
Biopolymer,Proteinoide,https://de.wikipedia.org/wiki/Proteinoide,"Proteinoide sind proteinähnliche Polymere aus Aminosäuren, welche im Gegensatz zu Proteinen nicht durch eine Proteinbiosynthese, sondern durch Kondensationsreaktionen außerhalb von Lebewesen entstanden sind. Sidney W. Fox hielt Proteinoide für eine mögliche Vorstufe von Lebewesen im Sinne einer Abiogenese. Im Jahr 1953 wurden im Miller-Urey-Experiment Aminosäuren in einer hypothetischen Ursuppe erzeugt.","Darauf aufbauend entstehen Proteinoide bei Temperaturen um 140 °C, in Anwesenheit von Katalysatoren bereits ab 70 °C. Als mögliche Katalysatoren kommen z. B. Phosphat oder Amidincarbodiimid infrage.","Daraus können sich aufgrund hydrophober Effekte sphärische Proteinkomplexe (Mikrosphären) bilden, die zwei Eigenschaften von Lebewesen aufweisen, wie eine proteinbasierte Biomembran und eine Aufspaltung in Tochtersphären als Entsprechung einer Zellteilung. Eine alternative Theorie zur Entstehung von Leben im Zuge der chemischen Evolution ist die RNA-Welt-Hypothese.",,,1. Was hielt Sidney W. Fox für eine mögliche Vorstufe von Lebewesen und wie unterscheiden sich Proteinoide von Proteinen in ihrer Entstehung?,2. Welche Eigenschaften von Lebewesen können sich in sphärischen Proteinkomplexen (Mikrosphären) aufgrund hydrophober Effekte bilden und welche alternative Theorie zur Entstehung von Leben im Zuge der chemischen Evolution wird genannt
Archäologischer Fundplatz auf Langeland,Runddysse von Magleby Nor,https://de.wikipedia.org/wiki/Runddysse_von_Magleby_Nor,Der Runddysse von Magleby Nor (auch Myrebjerg oder Nordenbro genannt) liegt in Magleby nördlich von Bagenkop auf der dänischen Insel Langeland. Das Großsteingrab entstand im Neolithikum zwischen 3500 und 2800 v. Chr. als Megalithanlage der Trichterbecherkultur (TBK).,"Der Runddysse hat als freiliegender Dolmenkammerrest überlebt mit zwei verkippten Tragsteinen und dem schräg aufliegenden Deckstein, mit fünf Schälchen. In der Nähe liegen der Langdysse von Søndenbro und das Ganggrab vom Myrebjerg. 54.76827310.678164Koordinaten: 54° 46′ 5,8″ N, 10° 40′ 41,4″ O",,,,"1. What is the historical period and culture associated with the construction of the Runddysse von Magleby Nor, also known as Myrebjerg or Nordenbro, located in Magleby on the Danish island of Langeland?",
Ersterwähnung 1120,Weitersweiler,https://de.wikipedia.org/wiki/Weitersweiler,"Weitersweiler ist eine Ortsgemeinde im Donnersbergkreis in Rheinland-Pfalz. Sie gehört der Verbandsgemeinde Göllheim an. Die vom Häferbach durchflossene Gemeinde liegt nördlich des Naturparks Pfälzerwald und östlich des Donnersbergs, zwischen Kaiserslautern und Worms. Im Nordwesten befindet sich Bennhausen, im Westen Jakobsweiler und im Südosten Dreisen.",Die Gemarkungsfläche wird zu 81 % landwirtschaftlich genutzt. Die älteste erhaltene Erwähnung von Weitersweiler stammt von 1120. Das Kloster Otterberg war im Ort begütert. Von 1410 bis 1792 war Weitersweiler durch den Häferbach als Grenze geteilt.,Der nördliche Teil gehörte überwiegend zur Herrschaft Wambold von Umstadt. Der Teil südlich des Häferbachs stand zuletzt unter der Herrschaft der Fürsten von Nassau-Weilburg. Die Namensgebung des am 5. Mai 2019 eröffneten ortshistorischen Wambold-Nassauer-Weges erinnert an diese Zeit.,Im Jahr 1794 nahmen französische Revolutionstruppen das Linke Rheinufer ein. Die Pfalz wurde Teil der Französischen Republik (bis 1804) und anschließend Teil des Französischen Kaiserreichs. Weitersweiler wurde in dieser Zeit dem Kanton Göllheim im Departement Donnersberg eingegliedert und gehörte zur Mairie Dreysen. Auf dem Wiener Kongress fiel die linksrheinische Pfalz 1815 zunächst an Österreich und 1816 aufgrund eines Tauschvertrages an das Königreich Bayern.,"Verwaltungstechnisch gehörte Weitersweiler nun von 1818 bis 1862 zum Landkommissariat Kirchheim – später Kirchhheimbolanden, aus dem das Bezirksamt Kirchhheimbolanden hervorging. Die katholische Pfarrkirche St. Bartholomäus wurde zwischen 1876 und 1880 erbaut. Ab 1939 war der Ort Bestandteil des Landkreises Kirchheimbolanden.","1. Welche historischen Ereignisse führten dazu, dass Weitersweiler im Jahr 1815 an Österreich fiel und anschließend 1816 aufgrund eines Tauschvertrages an das Königreich Bayern?",2. Was repräsentiert die Namensgebung des am 5. Mai 2019 eröffneten ortshistorischen Wambold-Nassauer-Weges in Weitersweiler und welche historischen
Druga-Slovenska-Nogometna-Liga-Saison,Druga Slovenska Nogometna Liga 1991/92,https://de.wikipedia.org/wiki/Druga_Slovenska_Nogometna_Liga_1991/92,Die Druga Slovenska Nogometna Liga 1991/92 war die erste Spielzeit der zweithöchsten slowenischen Spielklasse im Männerfußball seit der Unabhängigkeit von Jugoslawien. Sie begann am 25. August 1991 und endete am 14. Juni 1992.,Die insgesamt 28 Mannschaften wurden in zwei Gruppen zu je 14 Vereine aufgeteilt. Jedes Team spielte im Verlauf der Saison zweimal gegeneinander; einmal zu Hause und einmal auswärts. Somit bestritt jede Mannschaft 26 Spiele. Die beiden Gruppensieger stiegen in die erste Liga auf.,"Da die Liga im folgenden Jahr eingleisig geführt wurde, stiegen aus jeder Gruppe acht Vereine direkt ab, (sechs in die dritte und zwei in die vierte Klasse). Ein 17. Absteiger wurde zwischen den beiden Sechstplatzierten ermittelt. Platzierungskriterien: 1.","Punkte – 2. Direkter Vergleich (Punkte, Tordifferenz, geschossene Tore) – 3. Tordifferenz – 4. geschossene Tore Platzierungskriterien: 1.","Punkte – 2. Direkter Vergleich (Punkte, Tordifferenz, geschossene Tore) – 3. Tordifferenz – 4. geschossene Tore Die beiden Teams auf den Plätzen sechs spielten einen Absteiger aus.",1. How was the structure of the Second Slovenian Football League 1991/92 season and what was the system for promotion to the first league?,2. How many teams got relegated from the Second Slovenian Football League in the 1991/92 season and what was the process to determine the 17th team to be relegated?
Filmschauspieler,Rick Lenz,https://de.wikipedia.org/wiki/Rick_Lenz,"Richard „Rick“ Palmer Lenz (* 21. November 1939 in Springfield, Illinois) ist ein US-amerikanischer Schauspieler. Lenz wuchs in Jackson, Michigan auf. Nach seiner Schauspielausbildung an der University of Michigan und Theaterauftritten im Repertoiresystem in den Semesterferien zog er nach New York City.","1965 hatte er sein Debüt am Broadway, die Produktion von Mating Dance wurde jedoch nach der ersten Aufführung abgesetzt. Im selben Jahr erhielt er ein Engagement als Einspringer in der Originalproduktion von Abe Burrowss Cactus Flower mit Lauren Bacall in der Hauptrolle. Lenz trat in verschiedenen kleineren Rollen auf, darunter auch als Igor Sullivan. 1969 wurde das Theaterstück als Die Kaktusblüte mit Walter Matthau, Ingrid Bergman und Goldie Hawn verfilmt, mit Lenz als Igor in seiner Spielfilmpremiere.","Lenz gelang in der Folge keine große Spielfilmkarriere; er war nur selten in großen Spielfilmproduktionen zu sehen, unter anderem spielte er Nebenrollen im Western Der letzte Scharfschütze neben John Wayne und in Jonathan Demmes Tragikomödie Melvin und Howard. Über die nächsten Jahrzehnte erhielt er dagegen zahlreiche Engagements beim Fernsehen und war als Gaststar in verschiedenen Fernsehgenres zu sehen; darunter Krimiserien wie Der Chef, Prime-Time-Soaps wie Der Denver-Clan und Actionserien wie Airwolf. Zwischen 1972 und 1974 spielte er in der als NBC Mystery Movie ausgestrahlten Westernserie Hec Ramsey die Rolle des Polizeichefs Oliver Stamp an der Seite von Richard Boone. Zwischen 1966 und 1977 war Lenz in zweiter Ehe mit der Tochter von Claude Rains verheiratet.",Aus der Ehe gingen drei Kinder hervor. Seit 1982 führt er seine dritte Ehe.,,1. Welche Rolle spielte Richard Lenz in der Serie Hec Ramsey und neben welchem anderen Schauspieler trat er dort auf?,2. In welchem Jahr hatte Richard Lenz sein Debüt am Broadway und in welcher Produktion trat er auf?
Rechtsgeschichte des Mittelalters (Deutschland),Schöffenbarfrei,https://de.wikipedia.org/wiki/Schöffenbarfrei,"Schöffenbarfrei (scepenbar vri) war im hohen Mittelalter eine Standesbezeichnung ähnlich wie semperfrei. Was damit gemeint ist, konnte nie restlos geklärt werden. Der Begriff spielt eine wichtige Rolle im Sachsenspiegel und taucht recht häufig in Urkunden des 12. und 13.","Jahrhunderts in Nord- und Westdeutschland auf. Die schöffenbarfreien Leute besetzten, wie ihr Name andeutet, die Schöffenbank im Gericht der Grafschaft (Die Schöffen sollen des Grafen Gericht alle achtzehn Wochen bei Königsbann suchen, Ssp. Ldr. I/2), sodass die gesamte Rechtsprechung in den wichtigeren Fällen in der Hand dieses Standes lag.",Die Schöffenstühle wurden innerhalb bestimmter Familien vererbt (z. B. Ssp. Ldr.,"III/26,2), aber im Grunde nahm jeder schöffenbarfreie Mann an der Rechtsprechung des königlichen Gerichts teil, unabhängig davon, ob er einen Schöffenstuhl besaß oder nicht: Wer aber nicht zu den Bänken geboren ist, der soll den Stuhl erbitten mit Urteil, um ein anderes Urteil zu finden. So soll ihm jener den Stuhl räumen, der das erste Urteil fand (Ssp. Ldr. II/12,13).","Aus dem Sachsenspiegel geht hervor, dass Schöffenbarfreie über jeden im Reich zu Gericht sitzen durften, aber nur von Ihresgleichen gerichtet werden durften. Bauern oder Bürger hatten also keine gerichtliche Macht über diesen Stand. Selbst Fürsten durften sich nicht anmaßen, über einen Schöffenbarfreien zu richten. Die schöffenbarfreien Leute spielten im Übrigen die typische Rolle eines sehr auf Ebenbürtigkeit bedachten Adels – sie galten zweifellos als ritterbürtig –, dabei scheinen sie aber oft viel zahlreicher gewesen zu sein und in viel bescheideneren Verhältnissen gelebt zu haben, als man das vom Adel allgemein annimmt.","1. Was bedeutet der Begriff ""Schöffenbarfrei"" im Kontext des hohen Mittelalters und welche Rolle spielte diese Standesbezeichnung in der Rechtsprechung des königlichen Gerichts?","2. Welche Privilegien und Beschränkungen hatten die schöffenbarfreien Leute im Mittelalter laut Sachsenspiegel, insbesondere in Bezug auf ihre gerichtlichen Befugnisse"
Argentinier,Santiago Fosgt,https://de.wikipedia.org/wiki/Santiago_Fosgt,"Santiago Fosgt, vollständiger Name Santiago Exequiel Fosgt, (* 27. März 1986 in Paraná oder 17. März 1986 in Buenos Aires) ist ein argentinischer Fußballspieler. Der 1,97 Meter große Defensivakteur Fosgt gehörte zu Beginn seiner Karriere von 2004 bis 2005 der Mannschaft von Patronato Paraná an.",Ab der Apertura 2006 bis in die Clausura 2008 war er Teil des Profikaders des uruguayischen Vereins Juventud. In der Saison 2008/09 folgte ein Engagement beim Danubio FC. Von der Apertura 2009 bis Juli 2011 war er Spieler des Centro Atlético Fénix. In den Erstligaspielzeiten 2009/10 und 2010/11 lief er dort 24- bzw.,"18-mal in der Primera División auf und erzielte fünf bzw. drei Treffer. Sodann schloss er sich dem argentinischen Klub CA Colón an, für den er in den beiden Folgesaisons allerdings nur drei Erstligaspiele und eine Begegnung in der Copa Argentina absolvierte. Ein Tor gelang ihm bei dieser Station nicht.","Von Juli 2013 bis Juli 2014 stand er erneut in den Reihen von Patronato Paraná in der Primera B Nacional. Nach fünf Einsätzen in der Liga und einem im nationalen Pokalwettbewerb, kehrte er zur Apertura 2014 nach Uruguay zurück und band sich an El Tanque Sisley. In der Saison 2014/15 wurde er 23-mal (kein Tor) in der höchsten uruguayischen Spielklasse eingesetzt. Anfang Juli 2015 wechselte er zu Atlético Venezuela.",Dort lief er bislang (Stand: 8. Januar 2017) 21-mal (ein Tor) in der venezolanischen Primera División und zweimal (kein Tor) in der Copa Venezuela auf. Anfang Januar 2017 kehrte er zu El Tanque Sisley zurück.,1. Wie viele Tore hat Santiago Exequiel Fosgt in den Erstligaspielzeiten 2009/10 und 2010/11 für den Centro Atlético Fénix erzielt und wie viele Spiele hat er für diesen Verein gespielt?,"2. Welche Karrierebewegungen machte Santiago Exequiel Fosgt zwischen Juli 2013 und Januar 2017, und wie viele Tore erzielte er während dieser"
1158,Frieden von Gisors 1158,https://de.wikipedia.org/wiki/Frieden_von_Gisors_1158,"Der Frieden von Gisors von 1158 war der zweite von insgesamt vier abgeschlossenen Friedensverträgen zwischen Frankreich und der durch die englischen Könige regierten Normandie, speziell der Vexin. Der Frieden wurde am 31. August 1158 zwischen Heinrich II. und Ludwig VII.","geschlossen. Es wurde eine Ehe zwischen dem jüngeren Heinrich und Margarete von Frankreich, den Kindern der beiden Könige, beschlossen. Als Morgengabe sollte die englische Seite die Stadt Gisors, Neaufles und den normannischen Teil des Vexin einbringen. Weiter wurde geregelt, dass die Templer über Gisors wachen sollten, was bis 1161 der Fall war.",,,,"1. Wer waren die beiden Könige, die am 31. August 1158 den Frieden von Gisors unterzeichnet haben und was war die Bedeutung der Ehe, die zwischen ihren Kindern vereinbart wurde?",2. Welche Rolle spielten die Templer im Kontext des Friedens von Gisors von 1158 und wie lange hielten sie diese Position?
Aufbauspiel,Aufbauspiel,https://de.wikipedia.org/wiki/Aufbauspiel,"Als Aufbauspiel, Aufbausimulation oder auch Aufbau-Strategiespiel wird ein Computerspielgenre bezeichnet, in denen es die primäre Aufgabe des Spielers ist, etwas aufzubauen. Aufbauspiele sind eine Variante von Computer-Strategiespielen. Im Gegensatz zu vielen anderen Strategiespielen liegt der Fokus allerdings nicht oder zumindest nicht hauptsächlich auf Militärstrategie und dem Besiegen der Gegner, sondern auf Wachstum und Aufbau. Die Unterhaltungssoftware Selbstkontrolle (USK) bezeichnet Aufbau-Strategie als die „zivile“ Form der Strategiespiele, bei der „Städtebau, Ressourcenmanagement oder Diplomatie im Vordergrund“ stehen.","Aufbauspiele verfolgen in der Regel keinen kompetitiven Charakter. Es handelt sich oft um Einzelspieler-Titel. Ein einfacher Game Loop in einem Aufbauspiel besteht aus dem Verdienen von Ressourcen (zum Beispiel „Holz“), welche dann genutzt werden, um weitere Objekte (zum Beispiel zusätzliche Gebäude wie eine „Holzfällerhütte“) zu kaufen und in der Spielwelt zu platzieren. Die erworbenen Objekte produzieren dann weitere Ressourcen, lassen die Kreation wachsen und der Kreislauf beginnt erneut.","Während Aufbauspiele dem Spieler oft wirtschaftliche Entscheidungen abverlangen, liegt in Abgrenzung zu reinen Wirtschaftssimulationen der Fokus des Spiels nicht allein auf wirtschaftlichen Entscheidungen. Es geht weniger um eine Gewinnmaximierung, als darum, sich um seine Einwohner, Besucher oder Tiere zu kümmern oder seiner Kreativität freien Lauf zu lassen. In vielen Fällen bauen Spieler auch nach ästhetischen Gesichtspunkten, also um etwas besonders „Schönes“ zu erschaffen. Die Zeitschrift PC Games beschreibt das Gameplay von Aufbauspielen wie folgt: „Die meisten Titel dieses Genres präsentieren uns zum Spielstart eine leere Karte und geben uns erste Gebäude an die Hand.","Diese Gameplay-Komponenten sind nichts anderes als Leinwand und Farbe für einen Künstler oder Werkzeug und Materialien für einen Handwerker. In Aufbauspielen werden wir zum Herrscher und Schöpfer unseres eigenen kleinen Reiches. Wir bestimmen das Layout, die wirtschaftliche Ausrichtung und auch das Aussehen unserer Kreation.“ Die österreichische Bundesstelle für die Positivprädikatisierung von Computer- und Konsolenspielen schreibt über Aufbauspiele: „Bauen – eine sehr beliebte Beschäftigung, die uns ein Leben lang begleitet. […] Eine sehr beliebte Form des „digitalen Bauens“ stellen Aufbauspiele dar, in denen Städte auf einer noch unbesiedelten Landschaft vom „ersten Stein“ weg nach eigenen Vorstellungen entwickelt werden können.“ Kennzeichen vieler Aufbauspiele ist das Fehlen eines konkreten Spielziels.","Es gibt oft keine erzählerische Handlung und auch keine Gegenspieler oder Endgegner, die es wirtschaftlich oder militärisch zu besiegen gilt. Ebenso gibt es selten zeitliche Beschränkungen, der Spieler kann soviel Zeit er möchte mit seiner Kreation verbringen und diese weiter und weiter wachsen lassen. Grenzen setzt in vielen Fällen einzig die zur Verfügung stehende, bebaubare Fläche. Aufbauspiele verwenden oft eine Draufsicht oder isometrische Perspektive um dem Spieler eine gute Übersicht zu ermöglichen.",1. Was unterscheidet Aufbauspiele von anderen Strategiespielen und reinen Wirtschaftssimulationen in Bezug auf Spielziele und den Fokus des Gameplays?,"2. Wie funktioniert der typische Spielablauf in einem Aufbauspiel, und welche Rolle spielen Ressourcen und ästhetische Entscheidungen dabei?"
Frau,Jorelyn Carabalí,https://de.wikipedia.org/wiki/Jorelyn_Carabalí,2 Stand: 25. Mai 2023 Jorelyn Daniela Carabalí Martínez (* 18. Mai 1997 in Jamundí) ist eine kolumbianische Fußballspielerin. Vom Orsomarso SC kommend wechselte sie im Januar 2018 zu Atlético Huila.,Zwei Jahre später folgte ihr nächster Wechsel Anfang 2020 zu Deportivo Cali. Seit Mitte Januar 2023 steht sie bei Clube Atlético Mineiro in Brasilien unter Vertrag. Für die kolumbianische A-Nationalmannschaft hatte sie ihr Debüt im Jahr 2021. Ein Jahr später stand sie im Kader bei der Copa América 2022.,Hier stand sie in allen sechs Partien der Mannschaft in der Startelf und erreichte mit ihr das Finale. Am Ende verlor man hier gegen Rekordmeister Brasilien mit 0:1. Mit dem Finaleinzug gelang die Qualifikation für die Fußball-Weltmeisterschaft der Frauen 2023. Am 4.,"Juli 2023 wurde sie für den finalen Kader bei der Weltmeisterschaft 2023 nominiert, in jedem der fünf Spiele ihres Teams eingesetzt und schied mit der Mannschaft im Viertelfinale gegen die Engländerinnen aus. Am 14. August 2023 wurde Carabalís jüngerer Bruder bei Schüssen in einem Nachtclub getötet.",,"1. Welche Karriereschritte hat die kolumbianische Fußballspielerin Jorelyn Daniela Carabalí Martínez seit ihrem Wechsel zu Atlético Huila im Jahr 2018 gemacht, und welche Erfolge und persönlichen Herausforderungen hat sie dabei erlebt?",2. Könnten Sie die Teilnahme und Leistung von Jorelyn Daniela Carabalí Martínez in der Copa América 2022 und der Fußball-W
DDR-Bürger,Wolfram Grandezka,https://de.wikipedia.org/wiki/Wolfram_Grandezka,Wolfram Grandezka (* 17. Dezember 1969 in Saalfeld/Saale) ist ein deutscher Schauspieler und ehemaliges Model. Mit 16 Jahren verließ Grandezka gemeinsam mit seiner Familie die DDR. Nach dem Abitur studierte er Volkswirtschaftslehre in Berlin und Heidelberg.,"Für ein Praktikum zog er nach New York, wo er als Model arbeitete und mit 22 Jahren Schauspielunterricht nahm, für den er sich zeitweise auch in Los Angeles aufhielt. Im Rahmen von Modeaufnahmen lernte er seine spätere Ehefrau Nadja Auermann kennen. Mit ihr war er von 1998 bis 2005 verheiratet und hat einen gemeinsamen Sohn (* 1999). Auf einem Sampler zur Serie Unter uns wurde der von ihm in diesem Rahmen interpretierte Titel You Can Have Me veröffentlicht.",,,,1. Welche Ausbildung hat Wolfram Grandezka nach dem Verlassen der DDR und seiner Abitur gemacht und in welchen Städten hat er studiert?,"2. Wer ist die bekannte Persönlichkeit, die Wolfram Grandezka während seiner Modelkarriere kennengelernt hat, und was ist der Name des Songs, den er im Rahmen der Serie ""Unter uns"" veröffentlicht hat?"
Burschenschafter (19. Jahrhundert),Hermann Rademacher,https://de.wikipedia.org/wiki/Hermann_Rademacher,Friedrich Hermann Rademacher (* 22. August 1841 in Calbe (Saale); † 22. November 1919 in Jena) war ein Richter und Mitglied des Reichstags des Deutschen Kaiserreichs. Rademacher studierte Rechtswissenschaft in Halle.,"Dort wurde er 1861 Mitglied der Burschenschaft Germania Halle. Er absolvierte den preußischen juristischen Vorbereitungsdienst und war von 1872 bis 1878 Kreisrichter in Treuenbrietzen. Von 1878 bis 1885 war er Amtsrichter, von 1885 bis 1894 Amtsgerichtsrat und von 1894 bis 1910 Landgerichtsrat in Potsdam. Im November 1881 gewann er für die Deutsche Fortschrittspartei eine Ersatzwahl im Reichstagswahlkreis Potsdam 9 (Zauch-Belzig, Jüterbog-Luckenwalde) und gehörte dem Reichstag bis zum Ende der Legislaturperiode im Oktober 1884 an.",,,,1. Welche Positionen hatte Friedrich Hermann Rademacher von 1872 bis 1910 in der juristischen Karriere inne und in welchen Städten hat er diese Positionen ausgeübt?,2. Für welche Partei hat Friedrich Hermann Rademacher bei einer Ersatzwahl im Reichstag im November 1881 kandidiert und welchen Wahlkreis hat er dabei vertreten?
Deutscher,Rudi Gering,https://de.wikipedia.org/wiki/Rudi_Gering,"Rudolf Gering, häufig auch Gehring geschrieben, (* 29. Mai 1917 in Gehlberg; † 3. Februar 1998 in Garmisch-Partenkirchen) war ein deutscher Skispringer und Unternehmer. Er zählte ab 1939 für einige Jahre zu den weltbesten Springern und war der zweite, dem ein Sprung über die Marke von 100 Metern gelang.","Darüber hinaus stellte er mehrere Schanzen- sowie einen Weltrekord auf, der mehr als sieben Jahre Bestand hatte. Rudolf Gering kam am 29. Mai 1917 als Sohn des Forstangestellten Max Gering und dessen Ehefrau Olga in Gehlberg zur Welt. Das Dorf liegt auf einer Höhe von 680 bis 750 Metern im Thüringer Wald und gehörte damals noch zum Herzogtum Sachsen-Coburg und Gotha, ab 1918 dann zum Freistaat Sachsen-Gotha und ab 1922 war es Teil des Landes Thüringen.","Im westthüringischen Steinbach lernte er Sieglinde Malsch kennen – die Tochter des Unternehmers und Mäzens Otto Malsch, der unter anderem Organisator von Skisprungveranstaltungen war und auch den Bau mehrerer Schanzen beauftragte. Am 30. Mai 1942 heiratete das Paar und im Dezember 1945 kam sein Sohn Peter zur Welt. Während des Zweiten Weltkrieges war Rudolf Gering Mitglied der Schutzstaffel (SS) und diente als Gebirgsjäger des Heeres der Wehrmacht.","Zeitweise lebte er in Arolsen in der preußischen Provinz Hessen-Nassau. Von Aufenthalten in Norwegen schickte er umfangreiche Lieferungen mit Skizubehör in die Heimat mit der Zielsetzung, dort nach dem Ende des Krieges ein Sportfachgeschäft zu eröffnen. Ende 1941 erlitt er eine Schussverletzung am Oberschenkel und musste im Dezember im Krankenhaus von Oberhof stationär behandelt werden. Das Ende des Krieges erlebte er zusammen mit fünf anderen Soldaten versteckt in einer Almhütte im Tiroler Zillertal.","Mit dem Fahrrad gelangte er anschließend nach Feldafing am Westufer des Starnberger Sees, wo sein vorheriger Trainer, der Norweger Randmod Sörensen, lebte. Dieser half ihm, rasch Fuß zu fassen. Innerhalb kurzer Zeit baute er in Oberstdorf einen erfolgreichen Holzhandel auf. Das Ehepaar Gering hatte allerdings unterschiedliche Vorstellungen über den zukünftigen Wohnort der Familie.","1. Welche Leistungen hat Rudolf Gering in seiner Karriere als Skispringer erbracht, welche Auszeichnungen hat er erhalten und wie hat sein Hintergrund und seine persönlichen Umstände dazu beigetragen?","2. Wie hat Rudolf Gering seine Postkriegszeit verbracht, welche Unternehmungen hat er unternommen und welche Herausforderungen musste er dabei bewältigen?"
