Article Title,Category,references,query_1,query_2
力生,含有英語的條目,力生（英語：Lik-Sang）是香港一家电子产品销售商，主要利用平行進口，向歐洲及英國出售電子遊戲產品，曾號稱有25萬名客人、遍及60個國家，但因出售能破壞遊戲機的版權保護裝置、銷售規模龐大、經營方式惹人注目，該公司多次被新力等遊戲商入稟法院。 2006年10月24日力生宣布因新力提出多宗官司，被迫停業，消息引起歐洲多國遊戲機壇廣泛迴響。 總部位於香港葵涌百匯中心的力生，約98年開始經營，由Pacific Game Technology (Holding) Limited持有，股東包括兩間英屬處女群島註冊公司，董事名為Zhou Xin，管理人員包括劉嘉榮、Pascal Clarysse等人。 成立初期，主要出售游戏机的解码芯片（Mod Chip），芯片能破解遊戲機的版權裝置，令遊戲用戶可以使用進口光碟及盜版遊戲，該公司出售這類貨品時亦一併製作安裝指南，並公開在開機碟上印上公司商標，迅速躋身全球其中一家最大解碼芯片銷售商，但經過官司後，他們轉營出售水貨到歐洲市場，成為全球其中一家最大遊戲出售商。 ### 這種透過生產商沒有認可渠道出售的產品，俗稱水貨，這類產品之所以出現，主要是因各地產品推出日期存有差異。 2005年，新力推出PSP手提遊戲機時，由於供應緊張，新力宣佈推遲在歐盟推出的時間，力生等水貨商隨即大舉從日本等地入貨，轉口到歐洲出售。 當時從日本入貨，一台PSP售價約1800港元，轉往歐洲零售店時，約可賣得2400元，零售店則以更高價格出售，為水貨商造就商機。 2006年10月倫敦法院裁定力生出售水貨是違法時，碰巧Playstation 3遊戲機將於11月11日出售，北美在11月17日，但歐洲會遲至2007年3月才有望推出，香港發售日期亦有待公佈，不少歐洲機迷當時亦有在力生預訂Playstation 3。 ### 力生經營手法及出售產品，多年來引起國際多家遊戲商不滿。 2002年9月16日，新力與微軟、任天堂聯手入稟香港高等法院，说解码芯片破坏了原告的版权。 法庭禁令力生禁止销售解码芯片与其它破坏知识产权的物品，該公司一度停業兩周。 此后，力生改变的此商品范围，销售合法的商品，像进口游戏、娱乐电器、特使汗衫，並大量將貨品從日本等國家進口，透過網站出口歐洲多國。 ### 該公司部分成員則自立門戶，經營Play-Asia.com公司。 力生出售水貨時會自製產品手冊，受到歐洲用戶讚許，但此舉亦引起新力不滿，指手冊提及新力商標，被指控違反版權法，又命令力生不得在網站中連結至新力網站，力生隨後將手冊撤走。 2005年8月，新力英國分公司就水貨問題向力生提出起诉，要求法院禁止力生向歐洲出售多款新力遊戲機，其中一個理據是新力要確保在歐洲出售的產品，能符合歐洲嚴格的電力標準。 2006年10月，倫敦高等法院判决力生的行为違法，10月24日，力生指由於新力提出多宗訴訟，宣布停業。 ### 新力否認一手令該公司倒閉，並指此舉是保障消費者，又指該公司對新力的批評只是酸葡萄。 新力娛樂香港發言人指，水貨可能用日本電壓，若進口他國可能會不安全，水貨沒有保養服務，萬一出事，會令消費者以為新力產品有問題，但力生反駁水貨隨機附送的電力裝置，本身是符合國際標準。 力生在其網站指，索尼電腦娛樂歐洲有限公司多名管理層過去亦有透過其網站，購買水貨產品，以求搶先試用產品，當中包括歐洲董事總經理、英國市務總監、歐洲創作總監以至歐洲發展總監，新力隨後稱他們只是購買產品作「調查用途」，對力生公開客戶名稱感到「驚訝」。 消息在歐洲遊戲機壇引起廣泛迴響，英、法、德、匈牙利等逾百個網站相繼刊載消息。,力生公司在其成立初期主要通过什么方式迅速成为全球最大解码芯片销售商之一？请详细说明其具体操作方法及其引发的后果。,新力和其他游戏商对力生公司的经营方式提出了哪些具体法律诉讼？请详细描述这些诉讼的背景、理由及最终判决结果。
王勇平,1955年出生,王勇平（1955年—），男，湖南衡阳人，中华人民共和国政治人物。 大学本科学历，高级政工师，曾任中华人民共和国铁道部政治部宣传部部长、新闻发言人、铁路合作组织駐波兰华沙的中方委员。 因2011年甬台温铁路列车追尾事故后新闻发布会上一句“至于你信不信，我反正信了”的言论而深受争议及质疑，该言论亦成为网络流行语并被恶搞。 1973年参加工作，1992年至1997年任广铁集团公司党委宣传部副部长、部长，1997年至1999年任羊城铁路总公司党委副书记，1999年至2003年任广州铁路公安局党组书记。 ### 2003年任铁道部政治部宣传部部长、新闻发言人。 2011年8月16日因为在新闻发布会上出言不逊引爆民怨，被铁道部职务调整，不再担任铁道部新闻发言人、政治部宣传部部长职务，由原哈尔滨铁路局党委书记韩江平接任。 王勇平的级别待遇未变，去向待定。 2011年10月起，王勇平赴波兰华沙担任铁路合作组织中方委员，待遇职务等级均未变动，至2014年1月底回國，任铁路总公司文联主席；至2015年11月28日退休。 ### 王勇平酷爱诗歌、散文，是中国作家协会会员、任中国书法家协会理事、中国铁路书法家协会主席、铁道部文联副主席。 从1980年代开始发表诗歌和散文。 迄今为止共出版四部诗集、五部文集。 2011年甬台温铁路列车追尾事故发生后，王勇平主持召开相关的新闻发布会。 ### 当解释“掩埋车体是为了救援方便”时所说的「目前他的解释理由是这样，至于你信不信，我反正信了」一时间成为中国网络流行语。 在事故的新闻发布会上，他面带笑容，在被问到为什么官方曾宣布车厢内在因已无生命迹象，宣布救援结束后还会发现一名女童生还者（项玮伊，灾难当时2岁半）的问题时，王勇平称“這只能說是生命的奇蹟”。 中國網民對王勇平的說詞非常不滿，在微博發起「至於你信不信，我反正信了」造句比賽，引發網友熱切迴響。 內容載明：「優勝者將可獲得10萬Q幣和鐵道部『發言人』職務，至於你信不信，我反正信了。 ### 」廣東《新週刊》雜誌社在官方微博中把王勇平稱為「邏輯帝」，還設計一件印有「至於你信不信，我反正是信了」的T恤，T恤標籤上還印著鐵路標誌。 2015年11月28日王勇平退休后，在接受采访时首次回应了这一事件。 对于这两句引发争议的回答，他认为“至于你信不信，我反正信了”这一句话“或许换一种表达可能更好些”，表示这一句是为了得到媒体的信任而下意识补充的。 对于当时网络上盛传埋车头是“掩盖证据，掩盖事实”，他认为“这是举世皆知的事故，任何方式也掩盖不了”。,王勇平在2011年甬台温铁路列车追尾事故新闻发布会上的言论为何引发了广泛争议，并成为网络流行语？,王勇平在退休后如何评价自己在2011年甬台温铁路列车追尾事故新闻发布会上的言论？
1992年瓜達拉哈拉大爆炸,1992年4月,"1992年瓜達拉哈拉大爆炸（西班牙語：Explosiones de Guadalajara de 1992），是指在1992年4月22日，在墨西哥瓜達拉哈拉市，的一系列可燃氣體大爆炸。 在4小時之內，市中心安那可地區的下水道發生多起汽油爆炸，摧毀了8公里的街道路面。 依據勞合社的統計，死亡252人，傷者超過500人，無家可歸者更高達15,000人，估計財務損失為3億至10億美元。 墨西哥國營煉油廠的汽油，因管路腐蝕導致燃油往下水道洩漏，高溫天氣或是下水道修理人員敲擊水溝蓋發出的火花引燃燃油，隨後的爆炸使得該市的多個路段被炸飛。 ### 事件後來被輯錄成國家地理頻道節目重返危機現場的其中一個單元，名為「瓜達拉哈拉地獄」。",瓜達拉哈拉大爆炸的主要原因及其對市中心安那可地區的影響是什麼？,根據勞合社的統計，瓜達拉哈拉大爆炸的死亡人數、受傷人數及經濟損失分別是多少？
彭小苒,1990年出生,"彭小苒（1990年12月3日—），出生於北京，中國主持人、演員，中國傳媒大學播音系畢業，2013年擔任""愛奇藝早班機""主持人開始演藝生涯，也是爱奇艺《面条新煮义》的主持人，由于爱奇艺主持人的曝光事件被网友所追捧。 2014年2月，出演靈異懸疑恐怖劇《靈魂擺渡》第一季。 2015年3月，出席第八屆《綜藝》盛典，獲得“年度潛力主持人”。 2016年5月，主演喜劇電影《龍門劫案》；7月，憑藉民國懸疑劇《老九門》中的大土司時懷禪，被觀眾認識。 ### 2017年1月，出演古裝劇《巴清傳奇》；8月，主演古裝言情劇《東宮》 2021年1月《精品風格雲盛典颁奖典礼》中獲「最受關注演員奬」 在第26屆《華鼎奬》中被提名中國古裝提材電視劇最佳女演員。 2019年获得第四届金骨朵网络影视盛典年度人气女演员荣誉。 應援色為楓葉紅，粉絲名為「蝦米」。 2016年，因演出""老九門""中的角色時懷嬋，開始有些知名度，而後被范冰冰賞識，並進而成為范冰冰工作室簽約藝人。 ### 2019年2月14日，主演電視劇《東宮》在大陸熱播，飾演天真無邪的西州九公主""小楓""，活潑可愛的演技令人眼前為之一亮，憑藉此劇讓大眾熟知，該劇由優酷全網獨播，台灣由LINE TV和Yahoo TV同步跟播。",彭小苒在2016年哪些影视作品中出演并获得了什么样的角色和知名度？,彭小苒凭借哪部电视剧获得了第四届金骨朵网络影视盛典年度人气女演员荣誉，并且她在这部剧中饰演了什么角色？
西藏圍棋,CS1英语来源 (en),西藏圍棋，藏語音譯為哲，密芒的一種，又名藏式圍棋，流傳於西藏地區的傳統棋類。 特點是仍保留古代的座子制，並且因為不可下在剛被提吃的所有棋點。 密芒是指棋，非專指西藏圍棋，也有其他西藏棋類，如排棋。 据敦煌莫高窟文献中记载，松赞干布的父亲囊日論贊擅长下西藏围棋，而且棋艺非常出色。 ### “每与人弈棋，当一局中其对手行将败北时，即帮对手，令其取胜”。 相傳松贊干布的大臣瓊波·邦色也是一位圍棋高手。 根據現代學者研究，西藏圍棋起源於中國內地的圍棋，中國內地的圍棋最遲在唐朝初期傳到了西藏，並逐漸發展為西藏圍棋。 五世達賴圆寂，桑結嘉錯与拉藏汗兩人矛盾日趋激烈，因双方認為武力征战将会两败俱伤，在权衡利弊後，双方决定以比赛西藏圍棋论定输赢，经过三盤的棋艺较量后，桑杰嘉措輸棋，且于1705年被拉藏汗杀死。 ### 此后藏族认为西藏围棋是不祥之物，西藏围棋因此渐渐失传。 十九世紀中葉，藏族天文历算家丹巴加措曾有一本关于围棋棋艺的专著《密芒吉单居》（《藏棋之理论》），共三十二頁。 1958年11月，當時為锡金王子的巴登土登郎加访日时和日本棋手伊予本桃市（日语：伊予本桃市）对弈西藏圍棋。 採用17*17的圍棋棋盤。 ### 棋子用黑白圍棋。,西藏围棋在历史上因何逐渐失传？请详细说明相关事件和人物。,根据西藏围棋的历史记载，请解释其起源以及与中国内地围棋之间的联系。
野球拳 (Hudson Soft遊戲),1981年电子游戏,《野球拳》（日语：野球拳）是Hudson Soft發售的成人遊戲。 儘管其具體發售日期不詳，但部分文獻仍視之為日本首部成人遊戲。 Hudson Soft的《野球拳》異於九十九電機公司在1982年發售的《野球拳》或PSK的《蘿莉塔野球拳》（ロリータ（野球拳））。 在遊戲開始時，玩家需要向系統輸入己方的衣服數量，他們甚至可把自身設定成穿了999件衣服。 ### 之後他們需跟遊戲角色惠美（めぐみ）一起玩石头、剪子、布。 玩家在遊玩時需向系統輸入1、2、3，分別代表石頭、剪子、布。 惠美所出示的手勢完全隨機，因此玩家需以運氣取勝。 每當玩家猜贏，惠美便會脫掉一件衣服，同時她亦漸漸顯得害羞。 ### 若然玩家猜輸，那麽系統就會把玩家當初輸入的衣服量減一。 《野球拳》由Hudson Soft內的「味噌拉面小组」（ミソラーメングループ）負責開發，相容沒有圖形功能的MZ-80K（解像度為80×50點）和MZ-700。 插畫由字元畫成（即ASCII艺术）。 本作之後與打磚塊一起以「HuPACK #2」的名義搭售。 ### 大澤良貴的《美少女遊戲狂熱者》（美少女ゲームマニアックス）收錄了他在二手遊戲專門誌《Used Games》上發表的評論。 他認為《野球拳》的「ASCII艺术十分拙劣，令自己連角色的性別也看不出來。 它連ASCII艺术也稱不上，只是一堆符號組合罷了」。 不過他仍對能在電腦上玩石頭、剪子、布一事感到欣喜。 ### 《成人遊戲文化研究概論》（エロゲー文化研究概論）著者宮本直毅形容本作的插畫就像「朴实的性愛娃娃」似的。 《月刊Game Labo》2016年6月號有一章節回顧了美少女遊戲的歷史，它對玩家會否接受以文字繪製的惠美持懷疑態度。 電腦遊戲雜誌的編輯前田尋之在《我們的美少女遊戲編年史》（ぼくたちの美少女ゲーム クロニクル）中讚揚開發團隊在沒有圖形功能的電腦上以文字繪製插畫。 不過他仍表示即使当时玩家對成人內容的確有着一定需求，但《野球拳》「一點也不夠色」。,《野球拳》的開發团队在沒有圖形功能的電腦上是如何實現插畫的？參考文獻中對此技術有何評價？,
明楼站,2019年啟用的鐵路車站,明楼站是浙江省宁波市一座地下轨道交通车站。 明楼站是宁波轨道交通3号线和6号线的换乘站，3号线车站于2019年6月30日启用。 明楼站位于鄞州区中兴路、通途路路口。 3号线车站位于中兴路上，为南北方向。 ### 6号线车站位于通途路上，为东西方向。 明楼站3号线车站为地下二层岛式车站，长152米，宽21.7米，总建筑面积15776平方米。 6号线为地下三层岛式车站，位于通途路，长157米，宽20.3米，建筑面积16175平方米。 两线通过通道换乘。 ### 3号线明楼站规划设置4个出入口，初期开放3个。 6号线另设2个出入口。 明楼站接驳公交常青藤·小城站及通途路中兴路口站。,明楼站3号线和6号线的车站在建筑布局和换乘方式上有何异同？,
魔法使之夜,2012年电子游戏,《魔法使之夜》（日语：魔法使いの夜／まほうつかいのよる Mahōtsukai no Yoru），是日本TYPE-MOON公司制作并发售的视觉小说類型遊戲。 简称为“魔夜”（「まほよ」）。 原作是奈须蘑菇的未发表、未完成的同名奇幻小说。 原作小说并没有按照一般形式发表，当时只有发行3册，厚度与《月姬读本》相近，只有武内崇持有1册，存貨被悄悄放在TYPE-MOON的会议室里。 ### 武内崇和OKSG似乎都阅读过它。 本作全篇由3部组成，由于當時只有完成第1部，武内崇曾经说过“想要继续读”。 作为奈须未发表作品中是著名的作品，本作的游戏化备受期待。 TYPE-MOON于2008年4月4日在官方网站上宣布本作的制作计划。 ### 根据Character material（TYPE-MOON发售的fans向读本）中的介绍，角色设计由武内崇担当，制作由小山广和担当。 本作的发售时间数次延期，最终在2012年3月21日宣布Master Up，并于同年4月12日发售初回版，8月10日发售通常版。 本作是与《月姬》、《Fate/stay night》和《空之境界》相关联的月世界的原型。 《月姬》中的魔法使蒼崎青子作为主人公登场，《空之境界》中的蒼崎橙子也作为主要角色登场。 ### 故事的主要发生地“三咲町”也在《月姬》中出现。 除一部番外篇外，游戏主线中并不存在分支路线和选择肢，而是为了尽可能地体现视觉小说形式中的“故事”的魅力。 1980年代后半，正是繁华与活力的时代的末期。 在地方都市三咲町，有传言说「在坡道上的房子里，住着两个魔女」。 ### 从乡村来到三咲町的少年静希草十郎，与转入学校的学生会长苍崎青子，以及孤高的美少女久远寺有珠相遇了。 实际上，这两人正是坡道上的房子里住着的魔女。 由于一系列的事件，完全没有共同点的三人在久远寺宅邸中开始了共同生活。 「聲」為PS4／Nintendo Switch移植版的聲優。,《魔法使之夜》在制作和发售过程中经历了哪些重要的时间节点和变更？,在《魔法使之夜》的故事背景和角色设定中，如何体现与《月姬》、《Fate/stay night》和《空之境界》的关联？
沃尔特·曾加,1960年出生,沃尔特·曾加（義大利語：Walter Zenga，1960年4月28日—），意大利著名足球運動員，司職守門員，是意大利足壇最成功的门将之一。 沃尔特·曾加出生於意大利大城市米蘭，早年是在意大利丙組的沙勒尼塔納出道，其後所效力的都是小型球會。 直到1982年他轉投意甲豪門國際米蘭，第二年成為正選門將，一直效力到1994年。 曾加曾帶領意大利國家隊贏得1984年洛杉磯奧運第四名，並成功贏得在本土舉行的1990年世界杯季軍。 ### 當屆他還創下連續518分鐘的不失球最長時間紀錄。 職業生涯晚年他在美國職業聯賽的新英格蘭革命度過，並在那裡展開教練生涯。 他執教的主要是一些東歐球會，包括羅馬尼亞班霸布加勒斯特星隊、贏得1991年歐冠盃的塞爾維亞球會──貝爾格萊德紅星。 他曾执教羅馬尼亞的布加勒斯特戴拿模。 ### 2008年4月1日，他成為卡塔尼亞足球俱樂部的教練，一年後轉任巴勒莫足球俱樂部教練一職。 2016至2017赛季他曾担任英冠球队伍尔弗汉普顿流浪主教练，因成绩不佳遭到解雇。,沃尔特·曾加在效力国际米兰期间取得了哪些重要成就，他的职业生涯是如何发展的？,沃尔特·曾加退役后执教了哪些球队，并在执教过程中经历了哪些重要事件？
威廉斯堡火藥事件,1775年十三殖民地,"威廉斯堡火药事件（The Gunpowder Incident 或 Gunpowder Affair）是一场发生在美国独立战争初期的冲突。 事件中对立的双方为时任弗吉尼亚总督邓莫尔勋爵约翰·默里（John Murray, 4th Earl of Dunmore）和由帕特里克·亨利所领导的北美民兵。 火药事件发生在1775年4月20日，即列克星敦战役爆发后的翌日。 战况尚未传达到弗吉尼亚时，邓莫尔勋爵便下令将贮存在威廉斯堡火药库的火药移送至皇家海军的军舰上。 ### 总督此举在当地引发了不安情绪，弗吉尼亚各地的民兵随即开始集聚。 帕特里克·亨利带领一小队民兵向威廉斯堡开进，并试图夺回火药。 事件最终以总督偿付330英镑予亨利和平结束。 然而，邓莫尔勋爵出于对自身安危的担忧，事后逃离了弗吉尼亚。 ### 英属北美殖民地的紧张局势伊始于1774年，时值英国议会通过一系列统称为《不可容忍法案》（Intolerable Acts）的殖民地法案。 各殖民地为支持因波士顿倾茶事件而被英国孤立的马萨诸塞殖民地，于1774年9月召开第一次大陆会议。 首次会议召开期间，便传来马萨诸塞民兵起事的消息，史称“火药危机”。 事件始于 9月初，英军上将暨马萨诸塞总督托马斯·盖奇下令从查尔斯顿（在今马萨诸塞的萨默维尔）的一处火药库中移出火药，新英格兰各地民兵闻及此事，误认为冲突爆发，便旋即集结在事发地。 ### 该事件直接导致大陆会议呼吁各殖民地组织民兵武装以自保。 事件的另一影响为时任殖民地事务大臣的达特茅斯公爵（William Legge, 2nd Earl of Dartmouth）建议各殖民地总督严控民兵的物资补充，并禁止火药的进口。 1775年年初，弗吉尼亚民兵开始集结，并预备收集军事物资（例如武器、弹药及火药）用以加强装备。 目睹此情状，弗吉尼亚总督邓莫尔勋爵决定解除民兵的武装。 ### 直至1775年3月23日第二次弗吉尼亚会议（会上帕特里克·亨利发表‘不自由，毋宁死’的著名演说）后，邓莫尔勋爵方才认为“有需要将部分火药从火药库中移出。 ”尽管英军部队从1774年马萨诸塞火药危机之后便已撤出弗吉尼亚，然而切萨皮克湾仍驻有数艘皇家海军军舰。 4月19日，邓莫尔勋爵暗地里指挥一队水手进入威廉斯堡并驻扎在总督府内。 总督随即下令皇家海军抹大拉号（HMS Magdalen）指挥官、海军上校亨利·柯林斯（Henry Collins）将火药从威廉斯堡的火药库中悉数移出。",威廉斯堡火药事件与1774年马萨诸塞火药危机之间有什么联系？请描述这两个事件的背景及其相互影响。,详细说明帕特里克·亨利在威廉斯堡火药事件中的角色以及他与邓莫尔勋爵之间的互动，特别是事件的起因和解决过程。
利克绍森,CS1法语来源 (fr),"利克绍森（法語：Lixhausen，法语发音：[liksauzən]；阿爾薩斯語：Líxhüse）是法国下莱茵省的一个市镇，属于萨韦尔讷区。 利克绍森（48°47'39""N, 7°32'57""E）面积3.29 平方千米，位于法国大東部大區下莱茵省，该省份为法国大陆部分最东部的省份，是阿尔萨斯的一部分，今与上莱茵省组成了阿尔萨斯欧洲集体，其南至上莱茵省，西南接孚日省和默尔特-摩泽尔省，西接摩泽尔省，北与德国接壤。 与利克绍森接壤的市镇（或旧市镇、城区）包括：阿尔泰肯多夫、博森多夫、埃滕多夫、伊瑟瑙森、林根多夫、维凯尔桑维尔索桑、佐埃贝尔斯多尔。 利克绍森的时区为UTC+01:00、UTC+02:00（夏令时）。 ### 利克绍森的邮政编码为67270，INSEE市镇编码为67270。 利克绍森所属的省级选区为布克斯维莱尔县（英语：Canton of Bouxwiller）。 利克绍森于2021年1月1日时的人口数量为372人。",请详细说明利克绍森市镇在地理位置上与哪些其他市镇或旧市镇接壤，并指出该市镇的具体经纬度坐标。,
大南斯拉夫,南斯拉夫主義,大南斯拉夫是指南斯拉夫的領土收復主義，其範圍包括所有南部斯拉夫人居住的土地，包括在曾是一國的塞爾維亞、克羅地亞、波斯尼亞和黑塞哥維那、斯洛文尼亞、蒙特內哥羅、瓦爾達爾馬其頓，與未成為南斯拉夫一部分的保加利亞、西色雷斯、希臘馬其頓。 南斯拉夫王國曾謀求保加利亞加入南斯拉夫。 南斯拉夫社會主義聯邦共和國曾謀求奧地利克恩頓州劃入南斯拉夫。 南斯拉夫撤军的支持者包括君主主义者和共和主义者。 ### 在南斯拉夫于1918年成立之前几天，南斯拉夫政治家斯维托萨尔·普里比奇维奇宣布，南斯拉夫的边界应该“从索查河到塞薩洛尼基”。 在两次世界大战期间提出将保加利亚纳入南斯拉夫的提议包括共和派人士声称与保加利亚结成一个完整的南斯拉夫，建立共和国是必要的，而另外一些人则声称，建立共和国不因为当时的保加利亚是一个王国，而声称君主立宪制将是一个适当加入南斯拉夫的形式。 保加利亚的兹韦诺(Zveno)运动支持包括保加利亚和阿尔巴尼亚在内的南斯拉夫。 兹韦诺运动参加了1934年的保加利亚政变，政变支持者宣布他们打算立即与法国结盟，并谋求保加利亚加入南斯拉夫。 ### 第二次世界大战开始后，1940年米兰·内迪奇将军提出，南斯拉夫应该加入轴心国并攻击希腊夺取塞薩洛尼基。 第二次世界大战期间，英国政府支持南斯拉夫在战后建立大南斯拉夫，因为反对保加利亚政府加入轴心国，1941年5月批准马尔科姆·伯尔博士的论文，赞成将保加利亚於战争后并入南斯拉夫。 但隨即在4月納粹德國及義大利入侵南斯拉夫，南斯拉夫戰役開始，軸心國瓜分了南斯拉夫，令此計劃無法實行。 第二次世界大战后，铁托宣称南斯拉夫拥有的里雅斯特和克恩顿邦，包括奥地利克恩顿邦的主权，说：“我们已经解放克恩顿邦，但国际条件令我们不得不暂时中止，克恩顿邦是我们的，而我们将争取它”。,为什么南斯拉夫社會主義聯邦共和國曾谋求奥地利克恩顿州划入南斯拉夫？请详细说明背景和原因。,英国政府在第二次世界大战期间为什么支持南斯拉夫建立大南斯拉夫，并提出将保加利亚并入南斯拉夫的计划？请结合具体历史背景进行分析。
男性避孕,使用无数据行信息框模板的条目,男性避孕是指由男性進行的生育控制方式。 主要的男性避孕方式除了禁慾（不進行性行為）外，還有避孕套、性交中斷法、非插入式性行為及输精管切除术。 還有其他男性避孕方式，不過尚在研究開發階段，暫未商品化。 其中像是RISUG/VasalGel（英语：Reversible inhibition of sperm under guidance）（已在印度完成第二階段的人類臨床實驗，正在進行第三階段）及超聲波（目前只進行到動物實驗）。 ### 輸精管切除術（男性結紮）是利用手術方式切除部份輸精管，達到無法生育的目的，手術中會將二條輸精管各切除一部份，並且將開口處電燒或是縫合，使精子無法進入精液中。 輸精管切除術可以在醫院或是診所進行。 美國疾病控制與預防中心（CDC）研究估計在每一千人結紮後，二年內失效（讓配偶或性伴侶懷孕）的人數會有11人，其中有過半是出現在輸精管切除術後的頭三個月，在72週後就沒有失效的情形了。 在輸精管切除術後，輸精管內仍有殘留的精子，一般要在手術三個月後精液內才會沒有精子，一般也會建議進行精液檢查確認精子數量已降到零。 ### 保險套是長條型薄膜的屏障式避孕用具，在性交時使用，可以減少懷孕的可能性，也可以減少性傳播疾病（例如HIV）的風險。 保險套的用法是在陰莖勃起時套入陰莖上，當男性射精時，精液（及其中的精子）會保留在保險套內，不會進入性伴侶的體內。 在理想情形下，使用保險套避孕的失效率為每年2%。 保險套可以配合其他的避孕方式（例如殺精劑）一起使用，會有更好的避孕效果。 ### 一般使用保險套避孕時的懷孕機率因人而異，大約每年比率從10%到18%不等。 性交中斷法是在進行陰道性行為時，在射精前將陰莖移出性伴侶的陰道，若每次都正確的使用，一年內的失敗率為4%。 若使用性交中斷法避孕，每年的失敗率大約是22%。 約公元40年，古希臘藥理學家迪奥科里斯在《藥物論》中提出用大麻種子及芸香（Ruta graveolens）作避孕，《藥物論》也是中古時期廣為使用的文獻。 ### 有一個用大鼠進行的實驗（使用由80%乙醇溶液萃取的萃取物20mg），發現可以讓精子量減少到一半以下。 在中古時期的波斯（及其他傳統文化）曾用這類草藥作為男性避孕用，其他也用作男性避孕的包括锦葵科的草棉、莎草科的高莎草（Cyperus longus）、马鞭草科的Vitex pseudonegundo、藜亚科的土荆芥（Chenopodium ambrosioides）、馬兜鈴科的馬兜鈴秈稻（英语：Aristolochia indica）（Aristolochia indica）、石榴屬的石榴及蘿摩科的Sarcostemma acidum。 不過由草棉萃取出來的化學物質，以及其他由棉籽（英语：Cottonseed）及秋葵籽萃取出的化學物質（棉酚）已被禁用作避孕用途，因為有10%至20%的使用者出現永久性的不孕。 在傳統印度醫學阿育吠陀中，蘇胥如塔及書籍《Rasarathasamucchaya》、《Sarangadhara（英语：Sarangadhara）》、《Bhavaprakasha》及《Bhisagya Ratnavali》都曾提過用楝樹來避孕。,在輸精管切除術後，為什麼建議在手術三個月後進行精液檢查確認精子數量已降到零？請詳細說明手術後精子在體內的變化過程。,
宝谛寺,使用未知Infobox religious building參數的頁面,宝谛寺是位于中国北京市海淀区香山南路南河滩西万安山东麓的藏传佛教格鲁派寺院。 宝谛寺为清朝乾隆十六年（1751年）仿照五台山菩萨顶而建。 《钦定日下旧闻考·卷一百三·郊垧西十三》载： 増：长龄寺西南为宝谛寺（五城寺院册）。 （臣等谨按：宝谛寺，乾隆十六年建，其制仿五台之菩萨顶。 ### 寺前为台，台上建石牌坊，额曰：“乃至无有语言文字是菩萨真人”凡十三字。 正殿檐额曰：“金轮宝界”，殿内额曰：“天东鹫岭”，联曰：“地即清凉白马贝书开震旦，山仍天竺青鸳兰若近离宫”。 后殿额曰：“法云慈荫”。 殿内联曰：“国满栴香古枝分鹿苑，天髙竺梵晴呗接鱼山”。 ### 佛楼额曰：“万法圆融”。 皆皇上御书。 ） 増：乾隆二十一年《御制宝谛寺诗》： 名山启初地，法界落中台（是处肖五台，菩萨顶为之。 菩萨顶即中台也）。 ### 像是黄金写，经因白马来。 禅枝冬不谢，意蕊雪如开。 去后闻钟韵，还疑叶斗才（北台峰名叶斗，故云）。 （臣等谨按：宝谛寺御制诗恭载首见之篇，余不备录。 ### ） 宝谛寺是载于《理藩院则例》的满族藏传佛教寺庙，寺内僧人均为满族。 清朝载于《理藩院则例》的满族藏传佛教寺庙共有6座，分别为东陵隆福寺、西陵永福寺、香山宝谛寺、圆明园正觉寺、功德寺、承德殊像寺。 宝谛寺是其中最大最重要的一座，专设有“管理宝谛寺事务大臣”一职，专门管理满族藏传佛教寺庙事务。 清朝时，香山南麓以宝谛寺为中心，形成了一组满族藏传佛教寺庙群。,宝谛寺是清朝乾隆十六年仿照五台山菩萨顶而建的，这座寺庙在乾隆二十一年还获得了哪几块皇上御书的匾额和楹联？,
