Language,Language Code,Articles,Active Users,Depth
Belarusian (Taraškievica orthography),be-tarask,87729,104,36
Breton,br,87045,89,8
Malayalam,ml,86044,208,201
Swahili,sw,85367,139,9
Low German,nds,85072,51,6
Kurdish,ku,84063,87,29
Lombard,lmo,74411,52,8
Javanese,jv,74110,85,20
Central Kurdish,ckb,72815,140,29
Newari,new,72471,23,8
Venetian,vec,69338,35,9
Luxembourgish,lb,64095,92,25
Bashkir,ba,63752,62,24
Irish,ga,60918,82,6
Icelandic,is,59184,179,31
Chuvash,cv,56710,50,7
Punjabi,pa,55051,103,21
Western Frisian,fy,54464,79,29
Tagalog,tl,47644,140,147
Aragonese,an,46900,71,78
Volapük,vo,38225,27,199
Scots,sco,34458,74,58
Kannada,kn,32855,232,96
Nepali,ne,31364,92,71
Alemannic,als,30668,84,28
Gujarati,gu,30452,57,71
Bavarian,bar,27167,55,71
Sicilian,scn,26375,49,16
Bishnupriya,bpy,25087,20,32
Mongolian,mn,24437,125,87
Quechua,qu,24072,40,22
Sinhala,si,21555,89,180
Northern Frisian,frr,19982,25,11
Pashto,ps,19775,51,31
Ossetic,os,19254,24,56
Odia,or,18637,50,75
Sindhi,sd,18291,44,28
Central Bikol,bcl,17814,52,14
Samogitian,bat-smg,17235,30,6
Yakut,sah,17142,34,32
Scottish Gaelic,gd,15986,29,18
Yiddish,yi,15476,47,46
Iloko,ilo,15390,16,72
Amharic,am,15370,42,33
Limburgish,li,15007,34,86
Neapolitan,nap,14885,34,10
Faroese,fo,14120,39,33
Maithili,mai,14119,31,26
Upper Sorbian,hsb,13950,35,26
Assamese,as,13943,131,161
Banyumasan,map-bms,13929,21,10
Literary Chinese,zh-classical,13493,58,191
Emiliano-Romagnolo,eml,13061,26,12
Acehnese,ace,12962,29,7
Walloon,wa,12453,24,26
Sanskrit,sa,12215,102,180
Western Armenian,hyw,12142,37,11
Santali,sat,11713,41,8
Zulu,zu,11540,31,6
Eastern Mari,mhr,11361,17,18
Ligurian,lij,11312,31,18
Fiji Hindi,hif,11277,39,73
Khmer,km,10950,69,44
Banjar,bjn,10912,59,11
Moroccan Arabic,ary,10317,43,190
Hakka Chinese,hak,10290,28,5
Dagbani,dag,10233,42,5
Pampanga,pam,9975,28,22
Rusyn,rue,9526,42,10
Tarantino,roa-tara,9487,17,7
Bhojpuri,bh,8735,36,623
Corsican,co,8280,43,27
Somali,so,8079,70,48
West Flemish,vls,8056,25,44
Māori,mi,7944,23,9
Low Saxon,nds-nl,7933,27,45
Northern Sami,se,7893,24,40
Erzya,myv,7876,19,40
Kinyarwanda,rw,7821,40,8
Kara-Kalpak,kaa,7730,37,9
Sardinian,sc,7631,31,17
Tibetan,bo,7096,23,22
Cornish,kw,7072,26,16
Veps,vep,6985,21,83
Maltese,mt,6910,51,71
Turkmen,tk,6894,37,32
Kabyle,kab,6863,24,13
Manx,gv,6848,23,137
Moksha,mdf,6777,26,19
Gan,gan,6750,27,193
Võro,fiu-vro,6703,24,11
Uyghur,ug,6656,31,20
Zeelandic,zea,6407,18,10
Abkhazian,ab,6356,34,65
Inari Sami,smn,5957,22,45
Guarani,gn,5813,24,17
Arpitan,frp,5794,17,52
Kashmiri,ks,5781,25,16
Picard,pcd,5773,33,5
Udmurt,udm,5715,20,38
Fula,ff,5589,51,23
Komi,kv,5538,16,42
Kashubian,csb,5471,26,7
Aymara,ay,5186,21,5
Norman,nrm,4982,18,26
Old English,ang,4581,46,112
Friulian,fur,4455,20,27
Livvi-Karelian,olo,4449,19,10
Lao,lo,4426,42,37
Lezghian,lez,4423,19,34
Nahuatl,nah,4312,15,171
Mirandese,mwl,4264,25,22
Papiamento,pap,4260,22,20
Lingala,ln,4222,26,28
Twi,tw,4163,23,12
Saterland Frisian,stq,4123,21,30
Romansh,rm,3777,22,42
Extremaduran,ext,3766,17,25
Ladino,lad,3722,24,106
Goan Konkani,gom,3599,18,60
Doteli,dty,3581,13,276
Avaric,av,3567,26,80
Tuvinian,tyv,3543,15,26
Komi-Permyak,koi,3467,12,34
Lower Sorbian,dsb,3419,30,71
Ganda,lg,3334,22,7
Chavacano,cbk-zam,3220,19,35
Divehi,dv,3138,20,95
Colognian,ksh,2991,18,999
Zhuang,za,2963,15,5
Russia Buriat,bxr,2832,19,56
Pa'O,blk,2831,17,11
Gagauz,gag,2808,20,19
Standard Moroccan Tamazight,zgh,2786,26,25
Palatine German,pfl,2776,15,30
Sakizaya,szy,2735,14,33
Betawi,bew,2687,21,6
Hawaiian,haw,2655,23,24
Pangasinan,pag,2575,17,29
Pali,pi,2558,9,14
Awadhi,awa,2471,16,7
Tulu,tcy,2395,27,223
Karachay-Balkar,krc,2178,17,251
Ingush,inh,2165,17,152
Xhosa,xh,2109,18,15
Ghanaian Pidgin,gpe,2041,14,52
Tongan,to,2017,11,23
Pennsylvania German,pdc,2016,24,68
Mon,mnw,1939,20,39
Aramaic,arc,1906,19,87
Tachelhit,shi,1902,19,33
Tswana,tn,1889,25,27
Oromo,om,1881,23,26
Kikuyu,ki,1797,14,5
Kalmyk,xal,1754,14,263
Nias,nia,1729,15,12
Kabiye,kbp,1713,11,5
Wolof,wo,1706,17,95
Novial,nov,1664,16,120
Kabardian,kbd,1644,14,74
Angika,anp,1643,11,15
Bislama,bi,1467,20,22
Aromanian,roa-rup,1387,19,233
Tok Pisin,tpi,1377,18,154
Kongo,kg,1371,20,34
Tetum,tet,1366,15,60
Gun,guw,1347,10,10
Lojban,jbo,1335,18,216
Madurese,mad,1307,23,39
Fijian,fj,1300,14,32
Lak,lbe,1274,19,431
Church Slavic,cu,1250,24,193
Tyap,kcg,1249,16,75
Nigerian Pidgin,pcm,1245,18,8
Tahitian,ty,1222,10,38
Taroko,trv,1200,15,30
Samoan,sm,1157,13,51
Amis,ami,1146,13,15
